dest_ip,dest_port
116.80.96.106,3172
201.76.9.115,8080
38.145.220.189,8443
172.233.182.154,51517
186.211.157.19,8080
104.251.81.48,14270
116.80.65.85,3172
79.106.165.246,8989
103.93.93.178,8181
41.254.48.54,19333
45.136.130.211,8447
38.7.195.55,999
5.58.7.214,8080
45.236.112.9,60399
38.145.220.220,8443
168.235.110.63,3128
190.97.239.21,999
203.196.8.6,3128
116.80.49.167,3172
103.171.31.77,8080
173.212.246.157,3128
64.188.90.36,1080
38.145.220.244,8443
38.145.220.243,8443
36.88.137.114,8080
116.80.96.108,3172
187.103.105.20,8085
45.167.124.52,8080
144.124.227.90,21074
116.80.96.107,3172
95.3.9.78,8080
85.208.108.43,10808
185.191.236.162,3128
45.175.171.4,8085
176.117.106.126,8080
41.223.119.156,3128
116.80.64.44,7777
81.196.74.147,8080
119.18.144.3,20326
210.87.74.200,8080
103.154.152.104,2020
38.145.218.101,8447
38.145.220.209,8443
158.160.215.167,8127
116.80.49.159,3172
205.209.118.30,3138
116.80.65.78,3172
200.24.130.144,999
5.129.206.247,8888
45.136.130.236,8443
103.255.66.109,8080
2.56.122.146,10808
103.30.30.6,20326
43.245.131.90,8080
213.230.110.191,3128
197.164.101.13,1981
16.78.119.130,443
103.165.128.171,8080
157.20.206.243,8080
116.80.96.95,3172
150.249.255.91,3128
38.253.88.242,999
116.80.96.105,3172
116.80.48.16,7777
116.80.65.77,3172
38.145.220.192,8443
121.126.185.63,25152
45.136.130.217,8443
103.166.90.70,8090
45.22.209.157,8888
103.233.152.18,8080
38.156.13.42,999
38.145.203.161,8443
103.145.34.10,55443
177.234.217.46,999
177.234.217.82,999
45.190.78.20,999
103.144.18.91,8080
38.145.220.219,8443
185.115.74.185,8080
36.95.82.69,8080
154.64.215.193,999
103.179.252.137,8181
59.8.203.55,80
103.78.83.23,8083
203.172.225.227,8080
116.80.96.111,3172
177.10.118.108,8089
150.107.140.238,3128
103.178.88.81,3128
103.133.27.11,8080
147.45.251.242,8888
103.38.104.173,8080
38.145.220.206,8443
190.60.45.83,999
177.19.167.242,80
103.188.170.149,8080
103.154.53.69,1111
89.200.217.250,8080
85.198.96.242,3128
190.128.195.58,999
38.34.183.130,8443
116.80.95.238,7777
41.189.171.186,8080
207.248.3.81,999
183.91.88.226,8087
194.59.204.87,9080
38.145.203.135,8443
49.156.44.115,8080
38.172.160.160,999
88.216.98.209,53983
161.49.87.222,8095
45.70.236.194,999
122.248.45.54,8080
181.78.195.137,999
203.96.226.154,8080
116.80.65.79,3172
45.136.130.237,8443
187.49.178.237,8080
170.78.208.245,999
116.80.49.169,3172
38.145.208.132,8443
181.78.79.155,999
158.160.215.167,8123
164.138.205.241,8080
200.174.198.32,8888
38.145.220.221,8443
38.188.247.12,999
179.1.95.213,999
45.136.130.235,8443
113.11.120.105,20326
116.80.77.99,7777
103.92.218.121,9514
45.136.130.155,8443
38.7.221.191,8080
102.68.129.54,8080
45.163.248.100,999
116.80.48.217,7777
116.80.96.100,3172
38.190.100.104,999
45.136.130.234,8443
5.58.97.89,8080
109.73.195.10,8888
38.145.220.191,8443
177.234.226.83,1994
102.68.79.62,8080
103.168.207.40,8080
163.61.245.58,8080
101.47.73.135,3128
45.207.200.120,1080
116.80.49.170,3172
186.148.180.46,999
116.80.65.81,3172
103.193.145.137,8080
116.80.48.38,7777
1.55.182.125,10001
128.201.119.238,999
116.80.49.163,3172
