keyword,metadata_keyword_regex,metadata_keyword_type,metadata_tool,metadata_description,metadata_tool_techniques,metadata_tool_tactics,metadata_malwares_name,metadata_groups_name,metadata_category,metadata_link,metadata_enable_endpoint_detection,metadata_enable_proxy_detection,metadata_tags,metadata_comment,metadata_severity_score,metadata_popularity_score,metadata_github_stars,metadata_github_forks,metadata_github_updated_at,metadata_github_created_at,metadata_entry_id
*ScreenConnect Software*,".{0,1000}ScreenConnect\sSoftware.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,58206
*ScreenConnect.Client.dll*,".{0,1000}ScreenConnect\.Client\.dll.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,58207
*ScreenConnect.Client.exe.jar*,".{0,1000}ScreenConnect\.Client\.exe\.jar.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,58208
*.screenconnect.com/Bin/*.exe*,".{0,1000}https\:\/\/.{0,1000}\.screenconnect\.com\/Bin\/.{0,1000}\.exe.{0,1000}",greyware_tool_keyword,ScreenConnect,control remote servers - abused by threat actors,T1021.001 - T1078 - T1133 - T1112,TA0008 - TA0003 - TA0004 - TA0005 - TA0011 - TA0010,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,screenconnect.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,47607
*.screenconnect.com/Host*,".{0,1000}https\:\/\/.{0,1000}\.screenconnect\.com\/Host.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,47608
*https://cloud.screenconnect.com/#/trialtoinstance?cookieValue=*,".{0,1000}https\:\/\/cloud\.screenconnect\.com\/\#\/trialtoinstance\?cookieValue\=.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,47712
*server*-relay.screenconnect.com*,".{0,1000}server.{0,1000}\-relay\.screenconnect\.com.{0,1000}",greyware_tool_keyword,ScreenConnect,control remote servers - abused by threat actors,T1021.001 - T1078 - T1133 - T1112,TA0008 - TA0003 - TA0004 - TA0005 - TA0011 - TA0010,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,screenconnect.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,58441
*ScreenConnect.ClientService.dll*,".{0,1000}ScreenConnect\.ClientService\.dll.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,58209
*\InventoryApplicationFile\screenconnect.cl*,".{0,1000}\\InventoryApplicationFile\\screenconnect\.cl.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,15959
*ScreenConnect.ClientService.exe*,".{0,1000}ScreenConnect\.ClientService\.exe.{0,1000}",greyware_tool_keyword,ScreenConnect,ConnectWise Control formerly known as Screenconnect is a remote desktop software application.,T1021.001 - T1133,TA0008 - TA0009 - TA0010 - TA0011,N/A,Black Basta - BlackCat - LockBit - Scattered Spider* - Hive - Trigona - Medusa - Yanluowang - GOLD SOUTHFIELD - MuddyWater ,RMM,https://screenconnect.connectwise.com/download,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,58210
