dest_ip,metadata_comment
115.42.70.0/24,AS197450 IPv4
212.64.215.0/24,AS197450 IPv4
14.192.135.0/24,AS197450 IPv4
59.152.60.0/24,AS197450 IPv4
185.113.223.0/24,AS197450 IPv4
154.6.152.0/22,AS197450 IPv4
173.239.233.0/24,AS197450 IPv4
185.254.31.0/24,AS197450 IPv4
103.205.181.0/24,AS197450 IPv4
173.244.40.0/24,AS197450 IPv4
195.178.136.0/24,AS197450 IPv4
64.64.103.0/24,AS197450 IPv4
59.152.61.0/24,AS197450 IPv4
195.178.138.0/24,AS197450 IPv4
46.36.200.0/24,AS197450 IPv4
212.64.199.0/24,AS197450 IPv4
46.31.78.0/24,AS197450 IPv4
193.35.155.0/24,AS197450 IPv4
103.205.183.0/24,AS197450 IPv4
103.205.180.0/24,AS197450 IPv4
195.178.137.0/24,AS197450 IPv4
154.6.44.0/22,AS197450 IPv4
149.18.108.0/22,AS197450 IPv4
103.205.182.0/24,AS197450 IPv4
59.152.62.0/24,AS197450 IPv4
45.128.233.0/24,AS197450 IPv4
173.244.60.0/24,AS197450 IPv4
195.178.139.0/24,AS197450 IPv4
216.9.227.0/24,AS197450 IPv4
188.132.232.0/24,AS197450 IPv4
45.136.7.0/24,AS197450 IPv4
178.215.239.0/24,AS197450 IPv4
176.96.128.0/24,AS197450 IPv4
59.152.63.0/24,AS197450 IPv4
185.221.64.0/24,AS197450 IPv4
98.159.236.0/23,AS197450 IPv4
