domain,port,metadata_comment,ip
096807104.box.freepro.com,443,Possible PiKVM Domain (Unverified),82.96.166.128
096807104.box.freepro.com,80,Possible PiKVM Domain (Unverified),82.96.166.128
1.tanl.cn,300,Possible PiKVM Domain (Unverified),119.99.219.41
11223344.ru,8082,Possible NanoKVM Domain (Unverified),78.29.12.0
123825663.box.freepro.com,443,Possible PiKVM Domain (Unverified),149.232.200.68
123825663.box.freepro.com,80,Possible PiKVM Domain (Unverified),149.232.200.68
16yang.cn,24443,Possible PiKVM Domain (Unverified),39.105.109.58
1c.1arus.ru,19680,Possible NanoKVM Domain (Unverified),89.19.177.198
1c.autosvet61.ru,11180,Possible NanoKVM Domain (Unverified),185.216.192.89
1c.it-bor.ru,41593,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.it-bor.ru,41594,Possible NanoKVM Domain (Unverified),188.235.105.83
1panel.wlianhao.asia,8080,Possible PiKVM Domain (Unverified),64.90.3.189
235128847.box.freepro.com,4443,Possible PiKVM Domain (Unverified),212.114.31.56
2rrcpc.ddns.net,41948,Possible GLKVM Domain (Unverified),207.115.122.109
67979bb109e7.u.channelsdvr.net,10001,Possible GLKVM Domain (Unverified),148.74.144.237
837wu94drci2jyzb.myfritz.net,443,Possible PiKVM Domain (Unverified),149.172.127.10
913754280.box.freepro.com,20443,Possible PiKVM Domain (Unverified),130.180.221.66
920867512.box.freepro.com,44004,Possible GLKVM Domain (Unverified),212.114.19.162
_dmarc.r1.glkvm.com,443,Possible GLKVM Domain (Unverified),54.165.89.19
_dmarc.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.194.92.217
aaronvoxel.direct.quickconnect.to,5500,Possible PiKVM Domain (Unverified),98.123.166.42
acumenx.duckdns.org,59308,Possible NanoKVM Domain (Unverified),210.6.109.18
adguard.kotel-volna.ru,4321,Possible NanoKVM Domain (Unverified),195.239.175.143
adminpetrodgiga.netcraze.pro,8989,Possible NanoKVM Domain (Unverified),178.252.115.39
adnanahmad.net,9988,Possible PiKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9989,Possible GLKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9990,Possible GLKVM Domain (Unverified),107.132.134.154
adobexp.com,3104,Possible TinyPilot KVM Domain (Unverified),82.35.110.164
aea-goodnightranch.podzone.net,4443,Possible GLKVM Domain (Unverified),76.186.135.65
