domain,port,metadata_comment,ip
096807104.box.freepro.com,443,Possible PiKVM Domain (Unverified),82.96.166.128
096807104.box.freepro.com,80,Possible PiKVM Domain (Unverified),82.96.166.128
11223344.online,8082,Possible NanoKVM Domain (Unverified),78.29.12.0
123825663.box.freepro.com,443,Possible PiKVM Domain (Unverified),149.232.200.68
123825663.box.freepro.com,80,Possible PiKVM Domain (Unverified),149.232.200.68
1c.it-bor.ru,41593,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.it-bor.ru,41594,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.s49.izex.org,8005,Possible NanoKVM Domain (Unverified),85.234.8.225
235128847.box.freepro.com,4443,Possible PiKVM Domain (Unverified),212.114.31.56
360.panotoday.net,34443,Possible NanoKVM Domain (Unverified),111.198.55.66
3qp4hi06gfm6ezd3.myfritz.net,10103,Possible GLKVM Domain (Unverified),31.19.204.59
520504.xyz,26740,Possible PiKVM Domain (Unverified),116.204.134.92
573432.xyz,4343,Possible PiKVM Domain (Unverified),171.113.251.2
9uqnum9ie7zjilxp.myfritz.net,443,Possible TinyPilot KVM Domain (Unverified),80.249.45.130
_dmarc.ci4i15e.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.206.17.242
_dmarc.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.194.92.217
aaronvoxel.direct.quickconnect.to,5500,Possible PiKVM Domain (Unverified),98.123.166.42
ac.3.12345665.xyz,44388,Possible PiKVM Domain (Unverified),47.243.150.187
admin.cd-ron.org,56324,Possible PiKVM Domain (Unverified),213.10.100.187
adminpetrodgiga.netcraze.pro,8989,Possible NanoKVM Domain (Unverified),178.252.115.39
adnanahmad.net,9988,Possible PiKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9989,Possible GLKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9990,Possible GLKVM Domain (Unverified),107.132.134.154
adobexp.com,3104,Possible TinyPilot KVM Domain (Unverified),45.132.142.135
aea-goodnightranch.podzone.net,4443,Possible GLKVM Domain (Unverified),76.186.135.65
ahwws.ahftzt.com,34430,Possible PiKVM Domain (Unverified),36.7.185.76
ai.obtv.io,8082,Possible TinyPilot KVM Domain (Unverified),98.191.147.191
aino1.top,4002,Possible NanoKVM Domain (Unverified),221.214.170.242
ajiuyi.com,6030,Possible PiKVM Domain (Unverified),43.248.96.171
