domain,port,metadata_comment,ip
00t.me,80,Possible BurpSuite Collaborator Domain (Unverified),51.195.217.13
0888wt.xyz,8080,Possible CyberStrikeAI Domain (Unverified),27.0.232.198
0lmjdo0198emn5quzix8gjv1rsxil7.burpcollaborator.net,443,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
0lmjdo0198emn5quzix8gjv1rsxil7.burpcollaborator.net,80,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
0pq.co,443,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.152
101-32-115-241.sslip.io,8000,Possible Cairn Domain (Unverified),101.32.115.241
101-32-185-93.nip.io,9090,Possible CyberStrikeAI Domain (Unverified),101.32.185.93
103-79-184-10.sslip.io,8080,Possible CyberStrikeAI Domain (Unverified),103.79.184.10
109.120.135.69.sslip.io,3000,Possible RedAmon Domain (Unverified),109.120.135.69
11792-webtest.nsd.li,443,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
11792-webtest.nsd.li,80,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
144-124-234-128.sslip.io,49999,Possible AdaptixC2 Domain (Unverified),144.124.234.128
144.172.112.126.sslip.io,443,Possible PureRAT Domain (Unverified),144.172.112.126
144.ip-51-91-79.eu,443,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.144
144.ip-51-91-79.eu,80,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.144
147-93-188-97.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),147.93.188.97
154.36.161.221.sslip.io,18080,Possible CyberStrikeAI Domain (Unverified),154.36.161.221
159.65.1.163.nip.io,18445,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,443,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,80,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,8444,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,8445,Possible PentAGI Domain (Unverified),159.65.1.163
17.205.178.68.host.secureserver.net,31337,Possible Sliver Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,40056,Possible Sliver Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,4321,Possible AdaptixC2 Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,7443,Possible Mythic Domain (Unverified),68.178.205.17
172-105-74-94.ip.linodeusercontent.com,443,Possible Hak5 Cloud C2 Domain (Unverified),172.105.74.94
172-105-74-94.ip.linodeusercontent.com,80,Possible Hak5 Cloud C2 Domain (Unverified),172.105.74.94
172-237-128-179.ip.linodeusercontent.com,443,Possible BurpSuite Collaborator Domain (Unverified),172.237.128.179
178-18-254-244.sslip.io,8444,Possible PentAGI Domain (Unverified),178.18.254.244
179.199.199.45.sslip.io,8000,Possible Cairn Domain (Unverified),179.199.199.45
185-135-80-216.cprapid.com,8080,Possible CyberStrikeAI Domain (Unverified),185.135.80.216
185-242-3-250.sslip.io,6606,Possible AsyncRAT Domain (Unverified),185.242.3.250
185-242-3-250.sslip.io,7707,Possible AsyncRAT Domain (Unverified),185.242.3.250
188.212.158.203.nip.io,1145,Possible AsyncRAT Domain (Unverified),188.212.158.203
188.212.158.203.nip.io,6606,Possible AsyncRAT Domain (Unverified),188.212.158.203
188.212.158.203.nip.io,8808,Possible AsyncRAT Domain (Unverified),188.212.158.203
193.134.211.175.nip.io,8080,Possible CyberStrikeAI Domain (Unverified),193.134.211.175
2-27-160-141.sslip.io,61712,Possible AdaptixC2 Domain (Unverified),2.27.160.141
202-146-222-156.nip.io,443,Possible PureRAT Domain (Unverified),202.146.222.156
207.57.186.12.sslip.io,8080,Possible CyberStrikeAI Domain (Unverified),207.57.186.12
212-43-153-205.cprapid.com,8808,Possible AsyncRAT Domain (Unverified),212.43.153.205
217.216.73.36.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),217.216.73.36
259470.xyz,8080,Possible CyberStrikeAI Domain (Unverified),154.9.26.131
266.bz,8080,Possible CyberStrikeAI Domain (Unverified),156.239.40.175
2degeesmobile.net,443,Possible Reverse_SSH Domain (Unverified),165.154.199.52
2jo.me,443,Possible BurpSuite Collaborator Domain (Unverified),193.70.37.121
2jo.me,80,Possible BurpSuite Collaborator Domain (Unverified),193.70.37.121
2yrcq-l.257.cz,11601,Possible Ligolo-ng Domain (Unverified),194.113.73.246
2yrcq-l.257.cz,8443,Possible Havoc Domain (Unverified),194.113.73.246
2yrcqwt.257.cz,11601,Possible Ligolo-ng Domain (Unverified),194.113.73.106
2yrcr58.257.cz,11601,Possible Ligolo-ng Domain (Unverified),194.113.74.199
2yrcrb6.257.cz,11601,Possible Ligolo-ng Domain (Unverified),194.113.75.163
