domain,metadata_comment
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain
api.baidubce.com,Possible Cobalt Strike C2 Fronting Domain
api.imageprovidjs.shop,Possible Cobalt Strike C2 Fronted Domain
api.microsoftstorapi.com,Possible Cobalt Strike C2 Domain
api.zhimawithyou.top,Possible Cobalt Strike C2 Fronting Domain
asusupdateserver.asuscomm.com,Possible Cobalt Strike C2 Domain
at1.227api.com,Possible Cobalt Strike C2 Domain
at2.227api.com,Possible Cobalt Strike C2 Domain
at3.227api.com,Possible Cobalt Strike C2 Domain
barthvertex.com,Possible Cobalt Strike C2 Domain
c-proxy-xjmkjgbsdn.cn-hangzhou.fcapp.run,Possible Cobalt Strike C2 Domain
candxai.com,Possible Cobalt Strike C2 Domain
cf.lala1.lat,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
ck.erloro.com,Possible Cobalt Strike C2 Domain
complianceportals.com,Possible Cobalt Strike C2 Domain
cs.tpedu2metricstw.dpdns.org,Possible Cobalt Strike C2 Domain
cs2.acsdomaindsadas.click,Possible Cobalt Strike C2 Domain
cstest.mucfc.store,Possible Cobalt Strike C2 Domain
d575nyk99jule.cloudfront.net,Possible Cobalt Strike C2 Domain
d575nyk99jule.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain
dev.useimage.sbs,Possible Cobalt Strike C2 Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dns1.globalcdn.autos,Possible Cobalt Strike C2 Domain
financiales-groupe.com,Possible Cobalt Strike C2 Fronted Domain
gou.xiaogoubi.top,Possible Cobalt Strike C2 Domain
hibmarket.help,Possible Cobalt Strike C2 Domain
imageprovidjs.shop,Possible Cobalt Strike C2 Fronting Domain
lab.google-analytcis.com,Possible Cobalt Strike C2 Domain
meritphilips.fans,Possible Cobalt Strike C2 Domain
miss.singinas.com,Possible Cobalt Strike C2 Fronted Domain
missmovie.lol,Possible Cobalt Strike C2 Domain
n1.google-analytcis.com,Possible Cobalt Strike C2 Domain
n2.google-analytcis.com,Possible Cobalt Strike C2 Domain
n3.google-analytcis.com,Possible Cobalt Strike C2 Domain
ns.1.3.0o0.foo,Possible Cobalt Strike C2 Domain
ns.1.4.0o0.foo,Possible Cobalt Strike C2 Domain
ns1.akawowfast.com,Possible Cobalt Strike C2 Domain
ns1.cmbchina.top,Possible Cobalt Strike C2 Domain
ns1.cryptwechat.com,Possible Cobalt Strike C2 Domain
ns1.deepsekapi.cn,Possible Cobalt Strike C2 Domain
ns1.gygiuh.online,Possible Cobalt Strike C2 Domain
ns1.microoosoft.com,Possible Cobalt Strike C2 Domain
ns1.nsebseshop.cloud,Possible Cobalt Strike C2 Domain
ns2.akawowfast.com,Possible Cobalt Strike C2 Domain
ns2.cmbchina.top,Possible Cobalt Strike C2 Domain
ns2.cryptwechat.com,Possible Cobalt Strike C2 Domain
ns2.microoosoft.com,Possible Cobalt Strike C2 Domain
ns2.nsebseshop.cloud,Possible Cobalt Strike C2 Domain
ns3.akawowfast.com,Possible Cobalt Strike C2 Domain
ns3.nsebseshop.cloud,Possible Cobalt Strike C2 Domain
osce12-0-sc.url.asiainfo-sec.com,Possible Cobalt Strike C2 Fronted Domain
ossb6.oss-cn-beijing.aliyuncs.com,Possible Cobalt Strike C2 Domain
pensi.me,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
test.officeplustool.top,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.mloadspring.com,Possible Cobalt Strike C2 Domain
updates.fisgloval.com,Possible Cobalt Strike C2 Domain
updatesrv.net,Possible Cobalt Strike C2 Domain
upgrade.mloadspring.com,Possible Cobalt Strike C2 Domain
web-analyzer-serv32.com,Possible Cobalt Strike C2 Domain
www.dyshop.online,Possible Cobalt Strike C2 Domain
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain
www.qkshhdjrbd.work,Possible Cobalt Strike C2 Domain
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain
